"ID","Name","Designator","Footprint","Quantity","Manufacturer Part","Manufacturer","Supplier","Supplier Part","Price","Pins","Contributor","JLCPCB Part Class"
"1","GD25Q128ESIGR","BC-FC3,RP-FC2,USR-FC1","SOP-8_L5.3-W5.3-P1.27-LS8.0-BL","3","GD25Q128ESIGR","GigaDevice(兆易创新)","LCSC","C2928891","","8","LCSC","Extended Part"
"2","2700Hz","BUZZER1","BUZ-SMD_4P-L8.5-W8.5-P8.50-TL","1","MLT-8540H","华能","LCSC","C95298","","4","","Extended Part"
"3","10uF","C1,C2,C8","C1206","3","CL31A106KBHNNNE","SAMSUNG(三星)","LCSC","C13585","","2","","Basic Part"
"4","100nF","C3","C0603","1","CC0603KRX7R9BB104","YAGEO(国巨)","LCSC","C14663","","2","","Basic Part"
"5","22uF","C4,C5","C0805","2","CL21A226MOQNNNE","SAMSUNG(三星)","LCSC","C98190","","2","","Extended Part"
"6","100nF","C6","C0402","1","CL05B104KB54PNC","SAMSUNG(三星)","LCSC","C307331","","2","LCSC","Basic Part"
"7","1uF","C7","C0603","1","CL10B105KB8NQNC","SAMSUNG(三星)","LCSC","C5199872","","2","lcsc","Extended Part"
"8","100nF","C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23","C0402","15","CL05B104KO5NNNC","SAMSUNG(三星)","LCSC","C1525","","2","","Basic Part"
"9","10uF","C28","C0402","1","CL05A106MQ5NUNC","SAMSUNG(三星)","LCSC","C15525","","2","","Basic Part"
"10","SM04B-SRSS-TB (LF)(SN)","CN1","CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN","1","SM04B-SRSS-TB(LF)(SN)","JST","LCSC","C160404","","6","LCSC","Extended Part"
"11","HX PM2.54-1X9P ZC-Y","CN2","HDR-TH_9P-P2.54-V-F-1","1","HX PM2.54-1x9P ZC-Y","hanxia(韩下)","LCSC","C22438159","","9","lcsc","Extended Part"
"12","SMAJ22A_C51045908","D1","DO-214AC_L4.3-W2.7-LS5.3-RD","1","SMAJ22A","Brightking(君耀电子)","LCSC","C51045908","","2","lcsc","Extended Part"
"13","1N4148_C18195411","D2","DO-35_BD2.2-L4.0-D0.50_1N4148","1","1N4148","LJ(朗捷)","LCSC","C18195411","","2","lcsc","Extended Part"
"14","JK-MSMD050-30","F1","F1812","1","JK-MSMD050-30","JK(金科)","LCSC","C369168","","2","LCSC","Extended Part"
"15","Header-Male-2.54_1x1","FW-FLS,SYS-R","HDR-TH_1P-P2.54-V-M","2","2.54-1*1P针","BOOMELE(博穆精密)","LCSC","C81276","","1","","Extended Part"
"16","2.54-2*3","H1","HDR-TH_6P-P2.54-V-R2-C3-S2.54_A2541WV-2X3P","1","2.54-2*3","ZHOURI(洲日)","LCSC","C5116479","","6","lcsc","Extended Part"
"17","Header-Female-2.54_1x5","H2","HDR-TH_5P-P2.54-V-F","1","2.54-1*5P母","BOOMELE(博穆精密)","LCSC","C50950","","5","","Extended Part"
"18","Header-Male-2.54_1x3","H3","HDR-TH_3P-P2.54-V-M-1","1","2.54-1*3P针","BOOMELE(博穆精密)","LCSC","C49257","","3","","Extended Part"
"19","4.7uH","L1","IND-SMD_L6.0-W6.0","1","CKCS6045-4.7uH/M","CENKER(岑科)","LCSC","C5291878","","2","lcsc","Extended Part"
"20","3.3uH","L3","IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T","1","AOTA-B201610S3R3-101-T","ABRACON","LCSC","C42411119","","2","lcsc","Extended Part"
"21","17-21VRD/TR8","LED1","LED0805-R-RD","1","17-21VRD/TR8","EVERLIGHT(亿光)","LCSC","C264415","","2","LCSC","Extended Part"
"22","WS2812C-2020-V1","LED2","LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020","1","WS2812C-2020-V1","worldsemi","LCSC","C2976072","","4","lcsc","Extended Part"
"23","Header-Female-2.54_1x16","P3","HDR-TH_16P-P2.54-V-F-1","1","2.54-1*16P母","BOOMELE(博穆精密)","LCSC","C66987","","16","","Extended Part"
"24","Header-Female-2.54_1x3","P4","HDR-TH_3P-P2.54-V-F","1","2.54-1*3P母","BOOMELE(博穆精密)","LCSC","C146243","","3","","Extended Part"
"25","Header-Female-2.54_1x8","P6","HDR-TH_8P-P2.54-V-F","1","2.54-1*8P母环保","BOOMELE(博穆精密)","LCSC","C27438","","8","","Extended Part"
"26","MMBT3906_C51953475","Q1","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","1","MMBT3906","CCX(晁禾)","LCSC","C51953475","","3","lcsc","Extended Part"
"27","S8050_C51953468","Q2","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","1","S8050","CCX(晁禾)","LCSC","C51953468","","3","lcsc","Extended Part"
"28","47kΩ","R1","R0603","1","0603WAF4702T5E","UNI-ROYAL(厚声)","LCSC","C25819","","2","","Basic Part"
"29","10kΩ","R2,R3,R10,R11,R12,R14,R15","R0603","7","FRC0603J103 TS","FOJAN(富捷)","LCSC","C2930027","","2","LCSC","Extended Part"
"30","33kΩ","R4","R0603","1","FRC0603F3302TS","FOJAN(富捷)","LCSC","C2907028","","2","lcsc","Extended Part"
"31","100kΩ","R5","R0603","1","FRC0603J104 TS","FOJAN(富捷)","LCSC","C2907088","","2","lcsc","Extended Part"
"32","22kΩ","R6","R0402","1","0402WGF2202TCE","UNI-ROYAL(厚声)","LCSC","C25768","","2","","Basic Part"
"33","20kΩ","R7","R0603","1","FRC0603F2002TS","FOJAN(富捷)","LCSC","C2907011","","2","lcsc","Extended Part"
"34","100kΩ","R8","R0603","1","FCR0603F100K","VO(翔胜)","LCSC","C5913165","","2","lcsc","Extended Part"
"35","1.5kΩ","R9","R2512","1","FRC2512F1501TS","FOJAN(富捷)","LCSC","C5153994","","2","lcsc","Extended Part"
"36","1kΩ","R13,R16,R17","R0603","3","0603WAF1001T5E","UNI-ROYAL(厚声)","LCSC","C21190","","2","","Basic Part"
"37","TS665CJ","RST,USR-FLASH","SW-TH_4P-L6.0-W6.0-P4.50-LS6.5","2","TS665CJ","SHOU HAN(首韩)","LCSC","C393938","","4","LCSC","Extended Part"
"38","SRV05-4-P-T7","TV1","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR","1","SRV05-4-P-T7","PROTEK","LCSC","C85364","","6","","Extended Part"
"39","CH224K","U1","ESSOP-10_L4.9-W3.9-P1.0-LS6.0-TL-EP","1","CH224K","WCH(南京沁恒)","LCSC","C970725","","11","lcsc","Extended Part"
"40","TPS259271DRCR","U2","VSON-10_L3.0-W3.0-P0.50-TL-EP","1","TPS259271DRCR","TI(德州仪器)","LCSC","C2653851","","11","lcsc","Extended Part"
"41","TPS54302DDCR_C311983","U3","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL","1","TPS54302DDCR","TI(德州仪器)","LCSC","C311983","","6","LCSC","Extended Part"
"42","ESP32-C6-WROOM-1-N8","U6","WIRELM-SMD_ESP32-C6-WROOM-1","1","ESP32-C6-WROOM-1-N8","ESPRESSIF(乐鑫)","LCSC","C5366877","","37","lcsc","Extended Part"
"43","RP2350B_C42415655","U8","QFN-80_L10.0-W10.0-P0.40-TL-EP3.4","1","RP2350B","Raspberry Pi(树莓派)","LCSC","C42415655","","81","lcsc","Extended Part"
"44","BX-PM2.54-1-5PY","U9","HDR-TH_5P-P2.54-V-F-B","1","BX-PM2.54-1-5PY","Bossie(博锡)","LCSC","C18078128","","5","lcsc","Extended Part"
"45","TYPE-C-31-M-12","USBC1","USB-C_SMD-TYPE-C-31-M-12_1","1","TYPE-C-31-M-12","韩国韩荣","LCSC","C165948","","16","LCSC","Extended Part"
"46","12MHz","X1","CRYSTAL-SMD_4P-L3.2-W2.5-BL","1","X322512MSB4SI","YXC(扬兴晶振)","LCSC","C9002","","4","","Basic Part"
